181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.62 java
181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.64 java
181407 tcriss    20   0 12.362g  71068  11540 S   9.1  0.2   0:01.65 java
181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.67 java
181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.69 java
181407 tcriss    20   0 12.362g  71068  11540 S   9.1  0.2   0:01.70 java
181407 tcriss    20   0 12.362g  71068  11540 S  18.2  0.2   0:01.72 java
181407 tcriss    20   0 12.362g  71068  11540 S   9.1  0.2   0:01.73 java
181407 tcriss    20   0 12.362g  73116  11540 S  18.2  0.2   0:01.75 java
181407 tcriss    20   0 12.362g  73116  11540 S  18.2  0.2   0:01.77 java
181407 tcriss    20   0 12.362g  73116  11540 S   9.1  0.2   0:01.78 java
181407 tcriss    20   0 12.362g  73116  11540 S  27.3  0.2   0:01.81 java
181407 tcriss    20   0 12.362g  73116  11540 S   9.1  0.2   0:01.82 java
181407 tcriss    20   0 12.362g  73116  11540 S  18.2  0.2   0:01.84 java
181407 tcriss    20   0 12.362g  73116  11540 S  18.2  0.2   0:01.86 java
181407 tcriss    20   0 12.362g  73116  11540 S   9.1  0.2   0:01.87 java
181407 tcriss    20   0 12.362g  73116  11540 S  18.2  0.2   0:01.89 java
181407 tcriss    20   0 12.362g  73116  11540 S   9.1  0.2   0:01.90 java
181407 tcriss    20   0 12.362g  73116  11540 S  18.2  0.2   0:01.92 java
181407 tcriss    20   0 12.362g  73116  11540 S   9.1  0.2   0:01.93 java
181407 tcriss    20   0 12.362g  73116  11540 S  18.2  0.2   0:01.95 java
181407 tcriss    20   0 12.362g  73116  11540 S  18.2  0.2   0:01.97 java
181407 tcriss    20   0 12.362g  73116  11540 S   9.1  0.2   0:01.98 java
181407 tcriss    20   0 12.362g  73228  11540 S  18.2  0.2   0:02.00 java
181407 tcriss    20   0 12.362g  73228  11540 S  27.3  0.2   0:02.03 java
181407 tcriss    20   0 12.362g  73492  11540 S   9.1  0.2   0:02.04 java
181407 tcriss    20   0 12.362g  73492  11540 S  18.2  0.2   0:02.06 java
181407 tcriss    20   0 12.362g  73720  11540 S  18.2  0.2   0:02.08 java
181407 tcriss    20   0 12.362g  73720  11540 S   9.1  0.2   0:02.09 java
181407 tcriss    20   0 12.362g  73984  11540 S  18.2  0.2   0:02.11 java
181407 tcriss    20   0 12.362g  74216  11540 S  18.2  0.2   0:02.13 java
181407 tcriss    20   0 12.362g  74216  11540 S   9.1  0.2   0:02.14 java
181407 tcriss    20   0 12.362g  74480  11540 S  18.2  0.2   0:02.16 java
181407 tcriss    20   0 12.362g  74480  11540 S   9.1  0.2   0:02.17 java
181407 tcriss    20   0 12.362g  74744  11540 S  18.2  0.2   0:02.19 java
181407 tcriss    20   0 12.362g  74744  11540 S  18.2  0.2   0:02.21 java
181407 tcriss    20   0 12.362g  75008  11540 S   9.1  0.2   0:02.22 java
181407 tcriss    20   0 12.362g  75008  11540 S  18.2  0.2   0:02.24 java
181407 tcriss    20   0 12.362g  75268  11540 S  18.2  0.2   0:02.26 java
181407 tcriss    20   0 12.362g  75268  11540 S  27.3  0.2   0:02.29 java
181407 tcriss    20   0 12.362g  75532  11540 S   9.1  0.2   0:02.30 java
181407 tcriss    20   0 12.362g  75532  11540 S  18.2  0.2   0:02.32 java
181407 tcriss    20   0 12.362g  75796  11540 S   9.1  0.2   0:02.33 java
181407 tcriss    20   0 12.362g  76036  11540 S  18.2  0.2   0:02.35 java
181407 tcriss    20   0 12.362g  76068  11540 S  18.2  0.2   0:02.37 java
181407 tcriss    20   0 12.362g  76280  11540 S  18.2  0.2   0:02.39 java
181407 tcriss    20   0 12.362g  76280  11540 S  18.2  0.2   0:02.41 java
181407 tcriss    20   0 12.362g  76544  11540 S  18.2  0.2   0:02.43 java
181407 tcriss    20   0 12.362g  76544  11540 S   9.1  0.2   0:02.44 java
181407 tcriss    20   0 12.362g  76764  11540 S  20.0  0.2   0:02.46 java
181407 tcriss    20   0 12.362g  76764  11540 S   9.1  0.2   0:02.47 java
181407 tcriss    20   0 12.362g  77020  11540 S  18.2  0.2   0:02.49 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.51 java
181407 tcriss    20   0 12.362g  79068  11540 S   9.1  0.2   0:02.52 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.54 java
181407 tcriss    20   0 12.362g  79068  11540 S  27.3  0.2   0:02.57 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.59 java
181407 tcriss    20   0 12.362g  79068  11540 S   9.1  0.2   0:02.60 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.62 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.64 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.66 java
181407 tcriss    20   0 12.362g  79068  11540 S   9.1  0.2   0:02.67 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.69 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.71 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.73 java
181407 tcriss    20   0 12.362g  79068  11540 S   9.1  0.2   0:02.74 java
181407 tcriss    20   0 12.362g  79068  11540 S  18.2  0.2   0:02.76 java
181407 tcriss    20   0 12.362g  79320  11540 S  18.2  0.2   0:02.78 java
181407 tcriss    20   0 12.362g  79320  11540 S  18.2  0.2   0:02.80 java
181407 tcriss    20   0 12.362g  79584  11540 S  18.2  0.2   0:02.82 java
181407 tcriss    20   0 12.362g  79584  11540 S  18.2  0.2   0:02.84 java
